,Space_GI,Affloss_Lasswell,Socrel_GI_neg_3,Space_GI_neg_3,Affloss_Lasswell_neg_3,attention_nouns,Virtue_GI_nouns,Affloss_Lasswell_nouns,Work_GI_verbs,Numb_GI_adverbs,Ord_GI_adverbs,Pos_GI_adverbs,Timespc_Lasswell_adverbs,attention_nouns_neg_3,polarity_nouns_neg_3,Causal_GI_nouns_neg_3,Affloss_Lasswell_nouns_neg_3,Numb_GI_adverbs_neg_3,Ord_GI_adverbs_neg_3,Pos_GI_adverbs_neg_3,outcome
49,0.0851063829787234,0.0,0.0425531914893617,0.0851063829787234,0.0,0.0051249999999999,0.0,0.0,0.3,0.25,0.25,0.25,0.25,0.0051249999999999,0.0403749999999999,0.0,0.0,0.25,0.25,0.25,True
50,0.040983606557377,0.0,0.0283018867924528,0.0377358490566037,0.0,0.10275,0.0526315789473684,0.0,0.074074074074074,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.1001538461538461,0.0591538461538461,0.0,0.0,0.4,0.4,0.4,True
51,0.088235294117647,0.0,0.088235294117647,0.088235294117647,0.0,0.0853333333333333,0.1666666666666666,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0853333333333333,0.0271666666666666,0.0,0.0,0.0,0.0,0.0,False
52,0.0357142857142857,0.0,0.1153846153846153,0.0384615384615384,0.0,0.0577499999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0577499999999999,0.00875,0.0,0.0,0.0,0.0,0.0,False
53,0.0416666666666666,0.0,0.0,0.0416666666666666,0.0,0.0034285714285714,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0034285714285714,-0.019,0.0,0.0,0.0,0.0,0.0,False
54,0.0263157894736842,0.0,0.0421686746987951,0.0301204819277108,0.0,0.3104333333333333,0.135593220338983,0.0,0.0769230769230769,0.0,0.0,0.0,0.0769230769230769,0.3301785714285715,0.2055,0.0384615384615384,0.0,0.0,0.0,0.0,True
55,0.0465116279069767,0.0,0.0641025641025641,0.0512820512820512,0.0,0.0414615384615384,0.0,0.0,0.0555555555555555,0.0,0.0,0.0,0.0,0.0104545454545454,0.0019999999999999,0.0454545454545454,0.0,0.0,0.0,0.0,True
56,0.036144578313253,0.0,0.0253164556962025,0.0379746835443038,0.0,-0.1438333333333333,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,-0.1438333333333333,-0.1731666666666667,0.0,0.0,0.0,0.0,0.0,True
57,0.0181818181818181,0.0,0.0377358490566037,0.0188679245283018,0.0,0.0315714285714285,0.0,0.0,0.1904761904761904,0.2,0.2,0.2,0.4,0.0315714285714285,0.0918571428571428,0.0,0.0,0.25,0.25,0.25,True
58,0.0826446280991735,0.0,0.0275229357798165,0.0825688073394495,0.0,0.0834285714285714,0.0,0.0,0.2105263157894736,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0834285714285714,0.0566190476190476,0.0,0.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,True
59,0.0144927536231884,0.0,0.1159420289855072,0.0144927536231884,0.0,0.0944999999999999,0.1428571428571428,0.0,0.25,0.0,0.0,0.0,0.0,0.0944999999999999,0.0611666666666666,0.0,0.0,0.0,0.0,0.0,True
60,0.048780487804878,0.0,0.0373831775700934,0.0560747663551401,0.0,-0.0188333333333333,0.0333333333333333,0.0,0.16,0.1818181818181818,0.1818181818181818,0.1818181818181818,0.1818181818181818,-0.0253529411764705,-0.0069411764705882,0.0,0.0,0.5,0.5,0.5,True
61,0.073170731707317,0.0,0.024390243902439,0.073170731707317,0.0,0.096,0.0,0.0,0.3636363636363636,0.25,0.25,0.25,0.25,0.096,0.0365,0.0,0.0,0.25,0.25,0.25,False
